Dataset,dataSource,Type,Continent,Continent.plot.summary,numSig,numAgg,numSeg,percAgg,percSeg,numSpp,numSites,Age,land.island
NorthAm-pollen-10ka,Blois,Po,NA,North America,28,21,7,0.75,0.25,72,251,10000,ETE
NorthAm-pollen-11ka,Blois,Po,NA,North America,19,17,2,0.894736842,0.105263158,71,205,11000,ETE
NorthAm-pollen-12ka,Blois,Po,NA,North America,14,13,1,0.928571429,0.071428571,72,155,12000,ETE
NorthAm-pollen-13ka,Blois,Po,NA,North America,14,12,2,0.857142857,0.142857143,72,117,13000,ETE
NorthAm-pollen-14ka,Blois,Po,NA,North America,11,8,3,0.727272727,0.272727273,67,76,14000,ETE
NorthAm-pollen-15ka,Blois,Po,NA,North America,7,3,4,0.428571429,0.571428571,63,50,15000,ETE
NorthAm-pollen-16ka,Blois,Po,NA,North America,4,2,2,0.5,0.5,61,39,16000,ETE
NorthAm-pollen-17ka,Blois,Po,NA,North America,5,1,4,0.2,0.8,55,30,17000,ETE
NorthAm-pollen-18ka,Blois,Po,NA,North America,2,1,1,0.5,0.5,52,21,18000,ETE
NorthAm-pollen-19ka,Blois,Po,NA,North America,1,1,0,1,0,55,16,19000,ETE
NorthAm-pollen-20ka,Blois,Po,NA,North America,4,0,4,0,1,55,15,20000,ETE
canaboco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,19,0,19,0,1,61,7,33,island
canabossco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,12,1,11,0.083333333,0.916666667,78,7,33,island
canahoco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,1,1,0,1,0,10,7,33,island
canahossco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,1,1,0,1,0,14,7,33,island
canlauioco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,4,0,4,0,1,120,7,33,land
canlaussco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,2,0,2,0,1,130,7,33,land
saweevilco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AF,Africa,2,0,2,0,1,47,21,33,land
ausismamco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,6,0,6,0,1,49,26,33,island
auslizrdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,2,1,1,0.5,0.5,69,23,33,land
ausmamco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,2,1,1,0.5,0.5,18,22,33,island
bassreptco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,1,0,1,0,1,17,10,33,island
newzbirdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,31,0,31,0,1,57,31,33,island
newzblco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,27,0,27,0,1,53,22,33,island
perthpco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,57,0,57,0,1,147,49,33,island
wauscamco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,11,11,0,1,0,20,55,33,land
wausnailco.txt,Gotelli and Ulrich,Gotelli & Ulrich,AU,Australia,22,18,4,0.818181818,0.181818182,35,55,33,land
faerbirdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,9,0,9,0,1,40,22,33,island
faerioco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,3,0,3,0,1,26,17,33,island
finlaks1co.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,1,0,1,0,1,5,16,33,island
finlaks2co.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,1,0,1,0,1,5,17,33,island
hebirdsco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,1,1,0,1,0,22,19,33,island
hebwoffbco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,3,1,2,0.333333333,0.666666667,18,14,33,island
italiantco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,4,0,4,0,1,48,21,33,island
maddabrdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,22,0,22,0,1,61,16,33,island
papahallco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,1,0,1,0,1,24,17,33,island
sipoobrdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,2,0,2,0,1,50,18,33,island
sofinbrdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,2,0,2,0,1,45,34,33,land
sulawbatco.txt,Gotelli and Ulrich,Gotelli & Ulrich,EA,Eurasia,4,0,4,0,1,59,13,33,island
1000islmco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,10,18,33,island
alandbrdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,29,1,28,0.034482759,0.965517241,82,16,33,island
antilbatco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,15,0,15,0,1,56,21,33,island
bajaballco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,0,4,0,1,37,26,33,island
bajabnco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,32,11,33,island
bajaboco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,0,4,0,1,28,13,33,island
bajabsco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,25,15,33,island
bajahallco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,29,17,12,0.586206897,0.413793103,84,48,33,island
bajahmco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,1,0,1,0,22,23,33,island
bajamallco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,1,1,0.5,0.5,27,34,33,island
bajamlco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,25,20,33,island
behle78co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,9,0,9,0,1,81,15,33,land
bonnfishco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,19,7,33,land
brivirghco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,23,43,33,island
caveio23co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,16,7,33,land
chanbco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,5,0,5,0,1,45,16,33,island
chanbprco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,0,4,0,1,38,8,33,island
chanherpco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,28,15,33,island
chfbirdco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,1,0,1,0,5,30,33,land
chihdgroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,1,0,1,0,14,24,33,land
chihrodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,2,1,0.666666667,0.333333333,17,45,33,land
chiweedco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,18,2,16,0.111111111,0.888888889,128,26,33,land
chiweedoco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,11,0,11,0,1,123,13,33,land
defauni2co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,62,6,33,island
defauni3co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,76,6,33,island
defauni5co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,134,6,33,island
gbdsrodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,13,25,33,land
